,entry,country,area,date,number,position,year,month,day
218,218,台東縣,鹿野鄉,1994/3/30,2.0,台東縣鹿野鄉,1994,3,30
219,219,桃園市,龍潭區,1994/4/1,0.0,桃園市龍潭區,1994,4,1
220,220,花蓮縣,富里鄉,1994/4/4,0.4,花蓮縣富里鄉,1994,4,4
221,221,花蓮縣,玉里鎮,1994/4/4,0.06,花蓮縣玉里鎮,1994,4,4
222,222,嘉義縣,民雄鄉,1994/4/6,4.0,嘉義縣民雄鄉,1994,4,6
223,223,台東縣,池上鄉,1994/4/14,15.0,台東縣池上鄉,1994,4,14
224,224,台東縣,關山鎮,1994/4/14,7.5,台東縣關山鎮,1994,4,14
225,225,花蓮縣,富里鄉,1994/4/14,2.1,花蓮縣富里鄉,1994,4,14
226,226,台東縣,鹿野鄉,1994/4/14,2.0,台東縣鹿野鄉,1994,4,14
227,227,花蓮縣,玉里鎮,1994/4/14,0.23,花蓮縣玉里鎮,1994,4,14
228,228,宜蘭縣,礁溪鄉,1994/4/15,4.0,宜蘭縣礁溪鄉,1994,4,15
229,229,宜蘭縣,五結鄉,1994/4/15,2.0,宜蘭縣五結鄉,1994,4,15
230,230,桃園市,龍潭區,1994/4/15,0.0,桃園市龍潭區,1994,4,15
231,231,嘉義縣,民雄鄉,1994/4/19,4.7,嘉義縣民雄鄉,1994,4,19
232,232,花蓮縣,玉里鎮,1994/4/22,2.7,花蓮縣玉里鎮,1994,4,22
233,233,花蓮縣,富里鄉,1994/4/22,2.7,花蓮縣富里鄉,1994,4,22
234,234,南投縣,名間鄉,1994/4/25,0.2,南投縣名間鄉,1994,4,25
235,235,屏東縣,萬丹鄉,1994/4/27,5.0,屏東縣萬丹鄉,1994,4,27
236,236,嘉義縣,新豐鄉,1994/4/27,3.9,嘉義縣新豐鄉,1994,4,27
237,237,宜蘭縣,礁溪鄉,1994/4/28,6.0,宜蘭縣礁溪鄉,1994,4,28
238,238,花蓮縣,玉里鎮,1994/4/28,4.56,花蓮縣玉里鎮,1994,4,28
239,239,宜蘭縣,五結鄉,1994/4/28,4.0,宜蘭縣五結鄉,1994,4,28
240,240,花蓮縣,富里鄉,1994/4/28,1.63,花蓮縣富里鄉,1994,4,28
241,241,桃園市,龍潭區,1994/4/30,0.5,桃園市龍潭區,1994,4,30
242,242,雲林縣,莿桐鄉,2012/5/1,18.6,雲林縣莿桐鄉,2012,5,1
243,243,雲林縣,斗六市,2012/5/1,18.22115385,雲林縣斗六市,2012,5,1
244,244,臺南市,東山區,2012/5/1,16.54761905,臺南市東山區,2012,5,1
245,245,臺南市,新營區,2012/5/1,16.25,臺南市新營區,2012,5,1
246,246,臺南市,官田區,2012/5/1,15.0,臺南市官田區,2012,5,1
247,247,臺南市,柳營區,2012/5/1,11.07843137,臺南市柳營區,2012,5,1
248,248,南投縣,名間鄉,2012/5/1,7.666666665,南投縣名間鄉,2012,5,1
249,249,南投縣,南投市,2012/5/1,1.85,南投縣南投市,2012,5,1
250,250,臺中市,烏日區,2012/5/1,1.715686274,臺中市烏日區,2012,5,1
251,251,臺中市,霧峰區,2012/5/1,0.833333333,臺中市霧峰區,2012,5,1
252,252,臺中市,大肚區,2012/5/1,0.566666667,臺中市大肚區,2012,5,1
253,253,臺中市,龍井區,2012/5/1,0.12195122,臺中市龍井區,2012,5,1
254,254,臺中市,梧棲區,2012/5/1,0.0,臺中市梧棲區,2012,5,1
255,255,高雄市,美濃區,2012/5/1,0.0,高雄市美濃區,2012,5,1
256,256,南投縣,草屯鎮,2013/5/1,12.0,南投縣草屯鎮,2013,5,1
257,257,南投縣,名間鄉,2013/5/1,8.0,南投縣名間鄉,2013,5,1
258,258,南投縣,南投市,2013/5/1,8.0,南投縣南投市,2013,5,1
259,259,宜蘭縣,三星鄉,2013/5/1,5.17,宜蘭縣三星鄉,2013,5,1
260,260,屏東縣,萬丹鄉,2014/5/1,7.777777776000001,屏東縣萬丹鄉,2014,5,1
261,261,花蓮縣,玉里鎮,2014/5/1,5.806010927000001,花蓮縣玉里鎮,2014,5,1
262,262,苗栗縣,頭份鎮,2014/5/1,4.999999992,苗栗縣頭份鎮,2014,5,1
263,263,臺東縣,鹿野鄉,2014/5/1,2.3,臺東縣鹿野鄉,2014,5,1
264,264,雲林縣,林內鄉,2014/5/1,2.115384615,雲林縣林內鄉,2014,5,1
265,265,屏東縣,崁頂鄉,2014/5/1,1.25,屏東縣崁頂鄉,2014,5,1
266,266,臺東縣,關山鎮,2014/5/1,1.0,臺東縣關山鎮,2014,5,1
267,267,高雄市,美濃區,2014/5/1,0.45454545399999996,高雄市美濃區,2014,5,1
268,268,花蓮縣,玉里鎮,1994/6/3,1.9,花蓮縣玉里鎮,1994,6,3
269,269,花蓮縣,富里鄉,1994/6/3,0.53,花蓮縣富里鄉,1994,6,3
270,270,嘉義縣,民雄鄉,1994/6/7,5.3,嘉義縣民雄鄉,1994,6,7
271,271,花蓮縣,玉里鎮,1994/6/9,5.87,花蓮縣玉里鎮,1994,6,9
272,272,花蓮縣,富里鄉,1994/6/9,1.03,花蓮縣富里鄉,1994,6,9
273,273,宜蘭縣,礁溪鄉,1994/6/13,7.0,宜蘭縣礁溪鄉,1994,6,13
274,274,宜蘭縣,五結鄉,1994/6/13,6.0,宜蘭縣五結鄉,1994,6,13
275,275,南投縣,名間鄉,1994/6/13,0.83,南投縣名間鄉,1994,6,13
276,276,台東縣,池上鄉,1994/6/27,8.4,台東縣池上鄉,1994,6,27
277,277,台東縣,關山鎮,1994/6/27,7.1,台東縣關山鎮,1994,6,27
278,278,台東縣,鹿野鄉,1994/6/27,0.1,台東縣鹿野鄉,1994,6,27
279,279,嘉義縣,民雄鄉,1994/6/28,6.5,嘉義縣民雄鄉,1994,6,28
280,280,南投縣,名間鄉,1994/6/28,0.0,南投縣名間鄉,1994,6,28
281,281,屏東縣,萬丹鄉,1994/6/29,4.0,屏東縣萬丹鄉,1994,6,29
282,282,屏東縣,萬丹鄉,1994/7/13,5.0,屏東縣萬丹鄉,1994,7,13
283,283,桃園市,龍潭區,1994/7/15,22.0,桃園市龍潭區,1994,7,15
284,284,屏東縣,萬丹鄉,1994/7/28,5.0,屏東縣萬丹鄉,1994,7,28
285,285,桃園市,龍潭區,1994/8/1,0.0,桃園市龍潭區,1994,8,1
286,286,南投縣,名間鄉,1994/8/11,0.0,南投縣名間鄉,1994,8,11
287,287,桃園市,龍潭區,1994/8/16,0.0,桃園市龍潭區,1994,8,16
288,288,南投縣,名間鄉,1994/8/24,0.0,南投縣名間鄉,1994,8,24
289,289,屏東縣,萬丹鄉,1994/8/26,5.0,屏東縣萬丹鄉,1994,8,26
290,290,桃園市,龍潭區,1994/8/31,0.0,桃園市龍潭區,1994,8,31
291,291,台東縣,池上鄉,1994/9/1,6.7,台東縣池上鄉,1994,9,1
292,292,台東縣,鹿野鄉,1994/9/1,0.1,台東縣鹿野鄉,1994,9,1
293,293,台東縣,關山鎮,1994/9/1,0.0,台東縣關山鎮,1994,9,1
